Field;Value;Field;Value;Field;Value;Field;Value
MES;6;ANIO;2021;IC2;/Yes;IC2impo;5.48
MES;6;ANIO;2021;IC;/Yes;ICimpo;2.09
MES;6;ANIO;2021;IRDA;/Yes;IRDAimpo;2,469.66
MES;6;ANIO;2021;IRDA;/Yes;IRDAimpo;1.89
MES;6;ANIO;2021;DC;/Yes;DCimpo;0.72
MES;5;ANIO;2021;IC2;/Yes;IC2impo;1,465.45
MES;5;ANIO;2021;IC2;/Yes;IC2impo;4.17
MES;5;ANIO;2021;IC;/Yes;ICimpo;1.59
MES;5;ANIO;2021;IRDA;/Yes;IRDAimpo;1,738.95
MES;5;ANIO;2021;IRDA;/Yes;IRDAimpo;1.42
MES;5;ANIO;2021;DC;/Yes;DCimpo;0.54
MES;4;ANIO;2021;IC2;/Yes;IC2impo;1,586.44
MES;4;ANIO;2021;IC2;/Yes;IC2impo;18.48
MES;4;ANIO;2021;IC;/Yes;ICimpo;7.05
MES;4;ANIO;2021;IRDA;/Yes;IRDAimpo;1,882.51
MES;4;ANIO;2021;IRDA;/Yes;IRDAimpo;6.29
MES;4;ANIO;2021;DC;/Yes;DCimpo;2.40
MES;3;ANIO;2021;IC2;/Yes;IC2impo;1,613.08
MES;3;ANIO;2021;IC2;/Yes;IC2impo;8.88
MES;3;ANIO;2021;IC;/Yes;ICimpo;3.38
MES;3;ANIO;2021;IRDA;/Yes;IRDAimpo;1,914.13
MES;3;ANIO;2021;IRDA;/Yes;IRDAimpo;2.97
MES;3;ANIO;2021;DC;/Yes;DCimpo;1.13
MES;2;ANIO;2021;IC2;/Yes;IC2impo;1,638.05
MES;2;ANIO;2021;IRDA;/Yes;IRDAimpo;1,943.76
MES;1;ANIO;2021;IC2;/Yes;IC2impo;1,661.36
MES;1;ANIO;2021;IC2;/Yes;IC2impo;10.14
MES;1;ANIO;2021;IC;/Yes;ICimpo;3.88
MES;1;ANIO;2021;IRDA;/Yes;IRDAimpo;1,971.42
MES;1;ANIO;2021;IRDA;/Yes;IRDAimpo;3.32
MES;1;ANIO;2021;DC;/Yes;DCimpo;1.27
MES;12;ANIO;2020;IC2;/Yes;IC2impo;1,688.00
MES;12;ANIO;2020;IC2;/Yes;IC2impo;5.43
MES;12;ANIO;2020;IC;/Yes;ICimpo;2.08
MES;12;ANIO;2020;IRDA;/Yes;IRDAimpo;2,003.03
MES;12;ANIO;2020;IRDA;/Yes;IRDAimpo;1.75
MES;12;ANIO;2020;DC;/Yes;DCimpo;0.67
MES;11;ANIO;2020;IC2;/Yes;IC2impo;1,709.41
MES;11;ANIO;2020;IC2;/Yes;IC2impo;9.84
MES;11;ANIO;2020;IC;/Yes;ICimpo;3.75
MES;11;ANIO;2020;IRDA;/Yes;IRDAimpo;2,028.44
MES;11;ANIO;2020;IRDA;/Yes;IRDAimpo;3.15
MES;11;ANIO;2020;DC;/Yes;DCimpo;1.20
MES;10;ANIO;2020;IC2;/Yes;IC2impo;1,744.86
MES;10;ANIO;2020;IRDA;/Yes;IRDAimpo;2,310.71
MES;9;ANIO;2020;IC2;/Yes;IC2impo;1,767.43
MES;9;ANIO;2020;IRDA;/Yes;IRDAimpo;2,340.60
MES;8;ANIO;2020;IC2;/Yes;IC2impo;1,923.09
MES;8;ANIO;2020;IC2;/Yes;IC2impo;12.80
MES;8;ANIO;2020;IC;/Yes;ICimpo;4.50
MES;8;ANIO;2020;IRDA;/Yes;IRDAimpo;2,281.99
MES;8;ANIO;2020;IRDA;/Yes;IRDAimpo;4.07
MES;8;ANIO;2020;DC;/Yes;DCimpo;1.43
MES;7;ANIO;2020;IC2;/Yes;IC2impo;1,943.12
MES;7;ANIO;2020;IRDA;/Yes;IRDAimpo;2,305.76
